Sample,X(ms) [24.09.2026 09:48:38 648 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
1998,1790243342271.959319,100,79.9967651367188,100
1999,1790243342311.992319,100,79.9967651367188,100
2000,1790243342351.972219,100,79.9967651367188,100
2001,1790243342391.960419,100,79.9967651367188,100
2002,1790243342431.976419,100,79.9967651367188,100
2003,1790243342471.952819,100,79.9967651367188,100
2004,1790243342511.952419,100,79.9967651367188,100
2005,1790243342551.967519,100,79.9967651367188,100
2006,1790243342591.971219,100,79.9967651367188,100
2007,1790243342631.964019,100,79.9967651367188,100
2008,1790243342671.962419,100,79.9967651367188,100
2009,1790243342711.955719,100,79.9967651367188,100
2010,1790243342751.944119,100,79.9967651367188,100
2011,1790243342791.974319,100,79.9967651367188,100
2012,1790243342831.921319,100,79.9967651367188,100
2013,1790243342871.936119,100,79.9967651367188,100
2014,1790243342912.006819,100,79.9967651367188,100
2015,1790243342952.168819,100,79.9967651367188,100
2016,1790243342991.934919,100,79.9967651367188,100
2017,1790243343031.942619,100,79.9967651367188,100
2018,1790243343072.245519,100,79.9967651367188,100
2019,1790243343111.926219,100,79.9967651367188,100
2020,1790243343151.916519,100,79.9967651367188,100
2021,1790243343191.928119,100,79.9967651367188,100
2022,1790243343231.919919,100,79.9967651367188,100
2023,1790243343272.096919,100,79.9967651367188,100
2024,1790243343312.175219,100,79.9967651367188,100
2025,1790243343351.891219,100,79.9967651367188,100
2026,1790243343391.920519,100,79.9967651367188,100
2027,1790243343431.894319,100,79.9967651367188,100
2028,1790243343471.919319,100,79.9967651367188,100
2029,1790243343512.056819,100,79.9967651367188,100
2030,1790243343551.881619,100,79.9967651367188,100
2031,1790243343591.898419,100,79.9967651367188,100
2032,1790243343631.918519,100,79.9967651367188,100
2033,1790243343671.893419,100,79.9967651367188,100
2034,1790243343711.870319,100,79.9967651367188,100
2035,1790243343751.870919,100,79.9967651367188,100
2036,1790243343791.855019,100,79.9967651367188,100
2037,1790243343831.858119,100,79.9967651367188,100
2038,1790243343871.863819,100,79.9967651367188,100
2039,1790243343911.865919,100,79.9967651367188,100
2040,1790243343951.844919,100,79.9967651367188,100
2041,1790243343991.884919,100,79.9967651367188,100
2042,1790243344031.870419,100,79.9967651367188,100
2043,1790243344071.861619,100,79.9967651367188,100
2044,1790243344111.831819,100,79.9967651367188,100
2045,1790243344151.845219,100,79.9967651367188,100
2046,1790243344191.849819,100,79.9967651367188,100
2047,1790243344231.851119,100,79.9967651367188,100
2048,1790243344271.913319,100,79.9967651367188,100
2049,1790243344316.392519,100,79.9967651367188,100
2050,1790243344356.411219,100,79.9967651367188,100
2051,1790243344396.390519,100,79.9967651367188,100
2052,1790243344436.418019,100,79.9967651367188,100
2053,1790243344476.392519,100,79.9967651367188,100
2054,1790243344516.390519,100,79.9967651367188,100
2055,1790243344556.399119,100,79.9967651367188,100
2056,1790243344596.398519,100,79.9967651367188,100
2057,1790243344636.390819,100,79.9967651367188,100
2058,1790243344676.359219,100,79.9967651367188,100
2059,1790243344716.419219,100,79.9967651367188,100
2060,1790243344756.388919,100,79.9967651367188,100
2061,1790243344796.376519,100,79.9967651367188,100
2062,1790243344836.386719,100,79.9967651367188,100
2063,1790243344876.373519,100,79.9967651367188,100
2064,1790243344916.396119,100,79.9967651367188,100
2065,1790243344956.379719,100,79.9967651367188,100
2066,1790243344996.373119,100,79.9967651367188,100
2067,1790243345036.341519,100,79.9967651367188,100
2068,1790243345076.476219,100,79.9967651367188,100
2069,1790243345116.355419,100,79.9967651367188,100
2070,1790243345156.347719,100,79.9967651367188,100
2071,1790243345196.328719,100,79.9967651367188,100
2072,1790243345236.345219,100,79.9967651367188,100
