Sample,X(ms) [24.09.2026 09:59:16 693 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
409,1790243967852.438872,125,99.9925003051758,500
410,1790243967892.452372,125,99.9929351806641,500
411,1790243967932.520872,125,99.9933166503906,500
412,1790243967973.210272,125,99.9936447143555,500
413,1790243968014.000872,125,99.9939346313477,500
414,1790243968052.567772,125,99.9941864013672,500
415,1790243968092.463972,125,99.9944076538086,500
416,1790243968132.533072,125,99.9946060180664,500
417,1790243968172.443872,125,99.9947738647461,500
418,1790243968212.450872,125,99.9949264526367,500
419,1790243968252.419572,125,99.9950561523438,500
420,1790243968292.429472,125,99.9951705932617,500
421,1790243968332.607672,125,99.9952697753906,500
422,1790243968372.454672,125,99.995361328125,500
423,1790243968412.574472,125,99.9954376220703,500
424,1790243968452.404272,125,99.9955062866211,500
425,1790243968492.406372,125,99.9955673217773,500
426,1790243968532.443672,125,99.9956207275391,500
427,1790243968572.431272,125,99.9956665039063,500
428,1790243968612.386572,125,99.9957046508789,500
429,1790243968652.379072,125,99.995735168457,500
430,1790243968693.286572,125,99.9957656860352,500
431,1790243968733.309472,125,99.9957885742188,500
432,1790243968772.405872,125,99.9958114624023,500
433,1790243968812.603372,125,99.9958343505859,500
434,1790243968853.304372,125,99.995849609375,500
435,1790243968892.650472,125,99.9958648681641,500
436,1790243968932.756572,125,99.9958801269531,500
437,1790243968972.429172,125,99.9958953857422,500
438,1790243969012.382472,125,99.9959030151367,500
439,1790243969052.372172,125,99.9959106445313,500
440,1790243969092.425572,125,99.9959182739258,500
441,1790243969132.382172,125,99.9959259033203,500
442,1790243969172.406972,125,99.9959335327148,500
443,1790243969212.719672,125,99.9959411621094,500
444,1790243969252.507472,125,99.9959487915039,500
445,1790243969299.770972,125,99.9959487915039,500
446,1790243969332.366272,125,99.9959487915039,500
447,1790243969372.368872,125,99.9959487915039,500
448,1790243969412.387972,125,99.9959487915039,500
449,1790243969452.343872,125,99.9959487915039,500
450,1790243969493.412872,125,99.9959487915039,500
451,1790243969532.584572,125,99.9959487915039,500
452,1790243969572.373372,125,99.9959487915039,500
453,1790243969612.381272,125,99.9959487915039,500
454,1790243969652.408272,125,99.9959487915039,500
455,1790243969692.358072,125,99.9959487915039,500
456,1790243969732.321872,125,99.9959487915039,500
457,1790243969772.422872,125,99.9959487915039,500
458,1790243969812.358972,125,99.9959487915039,500
459,1790243969852.627572,125,99.9959487915039,500
460,1790243969892.435272,125,99.9959487915039,500
461,1790243969932.359372,125,99.9959487915039,500
462,1790243969972.420272,125,99.9959487915039,500
463,1790243970012.335072,125,99.9959487915039,500
464,1790243970052.423672,125,99.9959487915039,500
465,1790243970093.579272,125,99.9959487915039,500
466,1790243970132.357372,125,99.9959487915039,500
467,1790243970172.341272,125,99.9959487915039,500
468,1790243970212.328372,125,99.9959487915039,500
469,1790243970252.300872,125,99.9959487915039,500
470,1790243970292.433772,125,99.9959487915039,500
471,1790243970332.304572,125,99.9959487915039,500
472,1790243970372.316672,125,99.9959487915039,500
473,1790243970412.336972,125,99.9959487915039,500
474,1790243970452.595672,125,99.9959487915039,500
475,1790243970492.342172,125,99.9959487915039,500
476,1790243970532.336872,125,99.9959487915039,500
477,1790243970572.326072,125,99.9959487915039,500
478,1790243970612.382672,125,99.9959487915039,500
479,1790243970652.306572,125,99.9959487915039,500
480,1790243970692.290572,125,99.9959487915039,500
481,1790243970732.437972,125,99.9959487915039,500
482,1790243970772.274072,125,99.9959487915039,500
483,1790243970812.451472,125,99.9959487915039,500
484,1790243970852.549672,125,99.9959487915039,500
485,1790243970892.295172,125,99.9959487915039,500
486,1790243970934.909072,125,99.9959487915039,500
487,1790243970972.276572,125,99.9959487915039,500
488,1790243971012.287872,125,99.9959487915039,500
489,1790243971052.293872,125,99.9959487915039,500
490,1790243971092.386772,125,99.9959487915039,500
491,1790243971132.646972,125,99.9959487915039,500
492,1790243971172.357872,125,99.9959487915039,500
493,1790243971212.600972,125,99.9959487915039,500
494,1790243971253.123172,125,99.9959487915039,500
495,1790243971292.305772,125,99.9959487915039,500
496,1790243971332.269572,125,99.9959487915039,500
497,1790243971372.246872,125,99.9959487915039,500
498,1790243971412.311272,125,99.9959487915039,500
499,1790243971452.614472,125,99.9959487915039,500
500,1790243971492.720072,125,99.9959487915039,500
501,1790243971532.257172,125,99.9959487915039,500
502,1790243971572.299872,125,99.9959487915039,500
503,1790243971612.219872,125,99.9959487915039,500
504,1790243971652.243572,125,99.9959487915039,500
505,1790243971692.250172,125,99.9959487915039,500
506,1790243971732.237572,125,99.9959487915039,500
507,1790243971772.240572,125,99.9959487915039,500
508,1790243971812.309872,125,99.9959487915039,500
