Sample,X(ms) [22.09.2026 22:05:40 989 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]"
469,1790114751708.671143,100.003204345703,79.9993591308594
470,1790114751748.664743,100.003204345703,79.9993591308594
471,1790114751788.670643,100.003204345703,79.9993591308594
472,1790114751828.677143,100.003204345703,79.9993591308594
473,1790114751868.677143,100.003204345703,79.9993591308594
474,1790114751908.663743,100.003204345703,79.9993591308594
475,1790114751948.659843,100.003204345703,79.9993591308594
476,1790114751988.662543,100.003204345703,79.9993591308594
477,1790114752028.654143,100.003204345703,79.9993591308594
478,1790114752068.638043,100.003204345703,79.9993591308594
479,1790114752108.639543,100.003204345703,79.9993591308594
480,1790114752148.660143,100.003204345703,79.9993591308594
481,1790114752188.646343,100.003204345703,79.9993591308594
482,1790114752228.621943,100.003204345703,79.9993591308594
483,1790114752268.640643,100.003204345703,79.9993591308594
484,1790114752308.633243,100.003204345703,79.9993591308594
485,1790114752348.629243,100.003204345703,79.9993591308594
486,1790114752388.635843,100.003204345703,79.9993591308594
487,1790114752428.617143,100.003204345703,79.9993591308594
488,1790114752468.625843,100.003204345703,79.9993591308594
489,1790114752508.625843,100.003204345703,79.9993591308594
490,1790114752548.616343,100.003204345703,79.9993591308594
491,1790114752588.606143,100.003204345703,79.9993591308594
492,1790114752628.597043,100.003204345703,79.9993591308594
493,1790114752668.596843,100.003204345703,79.9993591308594
494,1790114752708.581543,100.003204345703,79.9993591308594
495,1790114752748.589843,100.003204345703,79.9993591308594
496,1790114752788.598943,100.003204345703,79.9993591308594
497,1790114752828.587143,100.003204345703,79.9993591308594
498,1790114752868.588043,100.003204345703,79.9993591308594
499,1790114752908.577743,100.003204345703,79.9993591308594
500,1790114752948.569543,100.003204345703,79.9993591308594
501,1790114752988.583143,100.003204345703,79.9993591308594
502,1790114753028.555843,100.003204345703,79.9993591308594
503,1790114753068.564043,100.003204345703,79.9993591308594
504,1790114753108.567943,100.003204345703,79.9993591308594
505,1790114753148.559043,100.003204345703,79.9993591308594
506,1790114753188.545343,100.003204345703,79.9993591308594
507,1790114753228.561743,100.003204345703,79.9993591308594
508,1790114753268.555943,100.003204345703,79.9993591308594
509,1790114753308.549843,100.003204345703,79.9993591308594
510,1790114753348.530543,100.003204345703,79.9993591308594
511,1790114753388.543143,100.003204345703,79.9993591308594
512,1790114753428.543643,100.003204345703,79.9993591308594
513,1790114753468.526643,100.003204345703,79.9993591308594
514,1790114753508.542343,100.003204345703,79.9993591308594
515,1790114753548.514143,100.003204345703,79.9993591308594
516,1790114753588.506743,100.003204345703,79.9993591308594
517,1790114753628.530543,100.003204345703,79.9993591308594
518,1790114753668.511843,100.003204345703,79.9993591308594
519,1790114753708.505643,100.003204345703,79.9993591308594
520,1790114753748.515943,100.003204345703,79.9993591308594
521,1790114753788.501143,100.003204345703,79.9993591308594
522,1790114753828.499543,100.003204345703,79.9993591308594
523,1790114753868.488943,100.003204345703,79.9993591308594
524,1790114753908.498543,100.003204345703,79.9993591308594
525,1790114753948.487943,100.003204345703,79.9993591308594
526,1790114753988.478743,100.003204345703,79.9993591308594
527,1790114754028.485743,100.003204345703,79.9993591308594
528,1790114754068.482843,100.003204345703,79.9993591308594
529,1790114754108.480443,100.003204345703,79.9993591308594
530,1790114754148.473543,100.003204345703,79.9993591308594
531,1790114754188.483843,100.003204345703,79.9993591308594
532,1790114754228.488343,100.003204345703,79.9993591308594
533,1790114754268.471443,100.003204345703,79.9993591308594
534,1790114754308.463643,100.003204345703,79.9993591308594
535,1790114754348.469543,100.003204345703,79.9993591308594
536,1790114754388.457143,100.003204345703,79.9993591308594
537,1790114754428.456043,100.003204345703,79.9993591308594
538,1790114754468.432943,100.003204345703,79.9993591308594
539,1790114754508.452443,100.003204345703,79.9993591308594
540,1790114754548.438943,100.003204345703,79.9993591308594
541,1790114754588.438443,100.003204345703,79.9993591308594
542,1790114754628.436443,100.003204345703,79.9993591308594
543,1790114754668.435543,100.003204345703,79.9993591308594
544,1790114754708.441343,100.003204345703,79.9993591308594
545,1790114754748.419643,100.003204345703,79.9993591308594
546,1790114754788.409043,100.003204345703,79.9993591308594
547,1790114754828.417443,100.003204345703,79.9993591308594
548,1790114754868.402343,100.003204345703,79.9993591308594
549,1790114754908.408943,100.003204345703,79.9993591308594
550,1790114754948.412143,100.003204345703,79.9993591308594
551,1790114754988.411743,100.003204345703,79.9993591308594
552,1790114755028.409343,100.003204345703,79.9993591308594
553,1790114755068.400643,100.003204345703,79.9993591308594
554,1790114755108.395743,100.003204345703,79.9993591308594
555,1790114755148.403543,100.003204345703,79.9993591308594
556,1790114755188.378943,100.003204345703,79.9993591308594
557,1790114755228.384843,100.003204345703,79.9993591308594
558,1790114755268.383743,100.003204345703,79.9993591308594
559,1790114755308.387343,100.003204345703,79.9993591308594
560,1790114755348.379943,100.003204345703,79.9993591308594
561,1790114755388.364443,100.003204345703,79.9993591308594
562,1790114755428.354843,100.003204345703,79.9993591308594
563,1790114755468.366743,100.003204345703,79.9993591308594
564,1790114755508.370343,100.003204345703,79.9993591308594
565,1790114755548.348743,100.003204345703,79.9993591308594
566,1790114755588.345143,100.003204345703,79.9993591308594
567,1790114755628.349543,100.003204345703,79.9993591308594
568,1790114755668.355343,100.003204345703,79.9993591308594
569,1790114755708.357643,100.003204345703,79.9993591308594
570,1790114755748.342943,100.003204345703,79.9993591308594
571,1790114755788.340443,100.003204345703,79.9993591308594
572,1790114755828.344843,100.003204345703,79.9993591308594
573,1790114755868.318843,100.003204345703,79.9993591308594
574,1790114755908.332443,100.003204345703,79.9993591308594
575,1790114755948.316343,100.003204345703,79.9993591308594
576,1790114755988.327443,100.003204345703,79.9993591308594
577,1790114756028.316143,100.003204345703,79.9993591308594
578,1790114756068.306143,100.003204345703,79.9993591308594
579,1790114756108.317943,100.003204345703,79.9993591308594
580,1790114756148.299643,100.003204345703,79.9993591308594
581,1790114756188.302143,100.003204345703,79.9993591308594
582,1790114756228.330843,100.003204345703,79.9993591308594
583,1790114756268.289143,100.003204345703,79.9993591308594
584,1790114756308.277743,100.003204345703,79.9993591308594
585,1790114756348.279443,100.003204345703,79.9993591308594
586,1790114756388.293243,100.003204345703,79.9993591308594
587,1790114756428.286143,100.003204345703,79.9993591308594
588,1790114756468.292243,100.003204345703,79.9993591308594
589,1790114756508.285943,100.003204345703,79.9993591308594
590,1790114756548.282543,100.003204345703,79.9993591308594
591,1790114756588.264643,100.003204345703,79.9993591308594
592,1790114756628.271943,100.003204345703,79.9993591308594
593,1790114756668.277243,100.003204345703,79.9993591308594
594,1790114756708.258843,100.003204345703,79.9993591308594
595,1790114756748.243743,100.003204345703,79.9993591308594
596,1790114756788.282143,100.003204345703,79.9993591308594
597,1790114756828.240143,100.003204345703,79.9993591308594
598,1790114756868.242643,100.003204345703,79.9993591308594
599,1790114756908.244543,100.003204345703,79.9993591308594
600,1790114756948.227943,100.003204345703,79.9993591308594
601,1790114756988.227243,100.003204345703,79.9993591308594
602,1790114757028.238843,100.003204345703,79.9993591308594
603,1790114757068.242043,100.003204345703,79.9993591308594
604,1790114757108.222043,100.003204345703,79.9993591308594
605,1790114757148.234643,100.003204345703,79.9993591308594
606,1790114757188.213543,100.003204345703,79.9993591308594
607,1790114757228.216943,100.003204345703,79.9993591308594
608,1790114757268.211043,100.003204345703,79.9993591308594
609,1790114757308.208443,100.003204345703,79.9993591308594
610,1790114757348.278543,100.003204345703,79.9993591308594
